Date,Open,High,Low,Close,Adj Close,Volume
2003-07-31,99.980003,100.910004,99.16999799999999,99.389999,74.318985,54937200
2003-08-01,99.190002,99.529999,98.239998,98.510002,73.660934,49321000
2003-08-04,98.309998,99.0,97.0,98.510002,73.660934,55214100
2003-08-05,98.410004,98.760002,96.339996,96.41999799999999,72.098167,61415600
2003-08-06,96.690002,98.059998,96.41999799999999,96.980003,72.516899,50096900
2003-08-07,97.16999799999999,98.07,96.760002,98.0,73.279617,43427400
2003-08-08,98.32,98.550003,97.760002,98.279999,73.488968,27357300
2003-08-11,98.260002,99.040001,97.839996,98.650002,73.765633,34631400
2003-08-12,98.709999,99.589996,98.41999799999999,99.550003,74.438652,43285600
2003-08-13,99.82,99.849998,98.529999,99.040001,74.05727399999999,36152000
2003-08-14,99.099998,99.75,98.449997,99.309998,74.259155,35525100
2003-08-15,99.360001,99.790001,99.120003,99.620003,74.490974,12567000
2003-08-18,99.93,100.599998,99.739998,100.480003,75.134041,22873800
2003-08-19,100.690002,100.940002,100.0,100.860001,75.41816700000001,37437700
2003-08-20,100.290001,100.889999,100.160004,100.449997,75.111588,21295300
2003-08-21,101.050003,101.519997,100.400002,100.769997,75.350853,46494200
2003-08-22,101.75,101.82,99.730003,99.769997,74.603142,52040300
2003-08-25,99.709999,100.83000200000001,99.279999,99.93,74.722763,23473000
2003-08-26,99.5,100.389999,98.83000200000001,100.110001,74.857376,45065800
2003-08-27,100.050003,100.360001,99.57,100.139999,74.879776,18919500
2003-08-28,100.400002,101.0,99.660004,100.760002,75.343407,27402400
2003-08-29,100.610001,101.480003,100.480003,101.440002,75.851883,28706600
2003-09-02,101.639999,102.879997,101.050003,102.800003,76.868813,49419100
2003-09-03,103.029999,103.699997,102.779999,103.360001,77.287552,44912400
2003-09-04,103.099998,103.550003,102.760002,103.410004,77.324921,28381000
2003-09-05,102.940002,103.550003,102.400002,102.83000200000001,76.891243,31637300
2003-09-08,103.040001,103.879997,102.93,103.68,77.52684,32632800
2003-09-09,103.370003,103.459999,102.68,103.0,77.018364,35053200
2003-09-10,102.529999,102.800003,101.550003,101.959999,76.2407,45904900
2003-09-11,102.099998,102.760002,101.839996,102.260002,76.465012,38396300
2003-09-12,101.910004,102.639999,101.349998,102.449997,76.607086,42524800
