Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month)
0,0,CAH,0,0,0,0,22000000000.0,30510000000.0,12.19,11.42,1.73,0.17,2.9,0.23,9.66,1.37,1.7,3.63,25.98,132610000000.00002,421.0,6.1,6540000000.0,3160000000.0,1820000000.0,5.74,225.0,1250000000.0,3.97,9760000000.0,127.87,1.09,24.12,1990000000.0,1230000000.0,1.12,69.87,65.29,3070000.0,314710000.0,313840000.0,0.42,92.21,15400000.0,3.96,5.61,16149999.999999998
0,0,PGR,0,0,0,0,34130000000.000004,34049999999.999996,21.55,15.55,0.93,1.27,3.67,1.27,13.48,5.94,8.55,3.97,17.53,26820000000.0,46.17,16.2,2430000000.0,2530000000.0,1590000000.0,2.72,50.4,2870000000.0,4.93,3310000000.0,33.78,0.41,15.96,,,0.54,55.65,51.94,3590000.0,582280000.0,577640000.0,0.62,82.43,6730000.0,2.31,1.16,7190000.0
0,0,COG,0,0,0,0,11610000000.0,12690000000.0,116.62,15.27,0.47,6.64,4.61,7.26,12.53,5.75,-2.24,-0.5,3.94,1750000000.0,3.77,21.4,607650000.0,1010000000.0,100390000.0,0.22,,480050000.0,1.04,1520000000.0,60.3,2.39,5.46,898160000.0,-517169999.99999994,0.47,25.45,26.72,5280000.0,460790000.0,455340000.0,1.57,99.64,16379999.999999998,2.67,3.57,16790000.0
0,0,ALXN,0,0,0,0,26190000000.0,27270000000.0,59.96,14.0,0.94,7.37,2.95,7.68,18.54,12.48,27.69,4.58,5.04,3550000000.0,15.86,9.5,3100000000.0,1470000000.0,443300000.0,1.97,-67.6,1480000000.0,6.69,3230000000.0,36.33,3.1,40.01,1120000000.0,879160000.0,1.07,119.23,125.36,2049999.9999999998,221680000.0,220460000.0,0.6,97.72,4790000.0,1.91,2.52,5230000.0
0,0,MDLZ,0,0,0,0,67780000000.0,82260000000.0,23.86,16.94,1.71,2.62,2.6,3.18,17.85,11.28,14.64,3.8,11.42,25900000000.0,17.12,2.9,10060000000.0,4610000000.0,2920000000.0,1.91,762.4,791000000.0,0.53,18170000000.0,69.38,0.48,17.55,2590000000.0,2130000000.0,0.59,44.0,42.36,9460000.0,1490000000.0,1480000000.0,0.7,77.48,13490000.0,1.7,0.92,11930000.0
0,0,SHLD,0,0,0,0,264730000.00000003,4720000000.0,,-0.22,0.0,0.01,,0.26,-4.13,-6.38,-7.91,-9.53,,18380000000.0,171.44,-27.2,4690000000.0,-1140000000.0,-1170000000.0,-10.94,,200000000.0,1.86,4650000000.0,,0.8,-37.1,-1870000000.0,-178880000.0,-0.58,2.64,4.86,1960000.0,107610000.0,30390000.0,36.86,53.58,13430000.0,8.98,58.61,13510000.0
0,0,HPQ,0,0,0,0,39310000000.0,39620000000.0,10.55,11.46,1.32,0.73,,0.74,8.76,7.15,7.65,8.12,,53890000000.0,32.18,14.5,9580000000.0,4520000000.0,3850000000.0,2.27,217.2,6780000000.0,4.11,7870000000.0,,0.91,-1.66,3910000000.0,2930000000.0,1.91,22.48,21.2,9970000.0,1640000000.0,1650000000.0,0.14,84.07,1220000.0,3.72,0.0,0.56
0,0,TEL,0,0,0,0,35800000000.0,38450000000.0,29.44,17.22,1.95,2.65,3.72,2.84,13.17,9.12,16.82,7.81,13.3,13530000000.0,38.22,13.6,4450000000.0,2920000000.0,1230000000.0,3.46,,704000000.0,2.01,4000000000.0,41.58,1.58,27.41,2270000000.0,879370000.0,1.1,101.18,92.16,1810000.0,351210000.0,350410000.0,68.53,0.0,3480000.0,2.87,0.98,3140000.0
0,0,NTRI,0,0,0,0,934320000.0,849040000.0,16.5,13.51,1.02,1.34,6.87,1.22,8.62,8.3,11.97,29.3,50.25,696960000.0,23.46,20.5,288460000.0,98490000.0,57870000.0,1.9,23.5,72220000.0,2.43,,,2.38,4.56,79750000.0,58450000.0,0.81,41.63,49.77,3050000.0,29800000.0,25740000.0,2.28,108.44,3870000.0,6.67,14.95,3990000.0
0,0,BA,0,0,0,0,205340000000.0,206910000000.0,25.98,20.92,1.58,2.2,580.57,2.22,17.07,8.78,10.76,6.89,1271.84,93390000000.0,155.01,8.9,17330000000.0,12120000000.0,8189999999.999999,13.43,92.0,9990000000.0,16.98,11120000000.0,2698.3,1.16,0.6,13340000000.0,9740000000.0,1.63,346.38,286.59,5460000.0,588490000.0,588180000.0,0.1,72.06,6220000.0,2.04,1.13,6630000.0
0,0,PNC,0,0,0,0,75140000000.0,127330000000.0,15.37,13.74,1.21,4.73,1.59,8.01,,33.6,34.55,1.44,11.41,15890000000.0,33.03,8.6,,,5050000000.0,10.36,102.9,5540000000.0,11.72,59090000000.0,,,100.45,,,0.93,156.67,141.22,2220000.0,471590000.0,471780000.0,0.23,84.01,6120000.0,3.74,1.26,5520000.0
0,0,NOC,0,0,0,0,59520000000.0,63560000000.0,29.81,19.67,1.79,2.31,8.44,2.46,16.84,7.81,12.78,6.81,32.74,25800000000.0,147.95,3.7,5950000000.0,3770000000.0,2020000000.0,11.47,-66.1,11220000000.0,64.48,15270000000.0,216.6,2.35,40.49,2610000000.0,1150000000.0,0.81,336.36,303.9,1070000.0,174090000.0,160900000.0,0.54,82.97,1760000.0,2.65,1.14,1570000.0
0,0,ABC,0,0,0,0,20800000000.0,22090000000.0,21.43,12.8,1.57,0.13,7.2,0.14,8.98,0.63,1.3,3.61,39.23,155440000000.0,712.08,6.0,4550000000.0,2460000000.0,979090000.0,4.42,248.6,3040000000.0,13.83,4640000000.0,161.32,0.95,13.16,1940000000.0,2089999999.9999998,1.06,98.03,86.97,2060000.0,219670000.0,162210000.0,26.11,69.07,10620000.0,4.39,6.65,11020000.0
0,0,MOS,0,0,0,0,10690000000.0,13230000000.0,,15.5,1.53,1.44,1.01,1.78,10.87,-1.45,7.1,1.85,-1.08,7410000000.0,21.11,12.3,842800000.0,1220000000.0,-107200000.0,-0.31,,2150000000.0,5.59,5230000000.0,54.23,2.27,27.4,935500000.0,286110000.0,1.6,26.42,23.51,5360000.0,385230000.0,350360000.0,9.04,77.55,18000000.0,3.96,5.71,20990000.0
0,0,ALL,0,0,0,0,33119999999.999996,36420000000.0,11.18,10.79,1.03,0.86,1.59,0.94,7.25,8.28,11.78,2.57,14.79,38520000000.0,106.42,6.1,14670000000.0,5020000000.0,3070000000.0,8.36,48.7,2560000000.0,7.22,6350000000.0,28.15,0.69,58.61,4310000000.0,-7900000000.0,0.97,96.45,96.5,2450000.0,354460000.0,353210000.0,0.3,79.9,5100000.0,2.48,1.42,3820000.0
0,0,SRCL,0,0,0,0,5400000000.0,8010000000.0,233.78,13.23,1.98,1.51,1.86,2.24,10.61,1.18,14.1,4.52,1.5,3580000000.0,41.98,-2.0,1460000000.0,754500000.0,23400000.0,0.27,377.5,42200000.0,0.49,2740000000.0,94.26,0.84,33.88,508600000.0,720080000.0,0.3,69.81,69.25,1010000.0,85540000.0,84480000.0,1.29,98.93,,,0.0,
0,0,XEL,0,0,0,0,21800000000.0,37630000000.0,19.07,16.57,2.93,1.91,1.9,3.3,9.91,10.07,19.2,3.25,10.22,11400000000.0,22.43,0.0,4490000000.0,3800000000.0,1150000000.0,2.25,-16.6,92000000.0,0.18,15790000000.0,137.85,0.73,22.53,3130000000.0,-537630000.0,0.12,44.28,47.9,3640000.0,508060000.0,506590000.0,0.25,75.08,12370000.0,3.8,2.44,10870000.0
0,0,MRK,0,0,0,0,146400000000.0,162130000000.0,58.39,12.31,2.45,3.65,3.87,4.04,12.72,6.4,20.31,,6.58,40120000000.0,14.6,3.1,27350000000.0,12750000000.0,2570000000.0,0.93,,11190000000.0,4.11,27020000000.0,70.19,,14.03,,,1.16,57.51,59.23,13180000.0,2700000000.0,2720000000.0,0.05,76.51,20330000.0,1.47,0.74,16960000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SO,0,0,0,0,44460000000.0,94080000000.0,52.5,14.46,7.15,1.93,1.84,4.09,15.57,3.66,11.22,1.46,3.37,23030000000.0,23.02,8.6,10170000000.0,6040000000.0,842000000.0,0.84,151.3,2130000000.0,2.11,50790000000.0,196.48,0.74,23.99,6390000000.0,-4570000000.0,0.1,44.11,48.52,7540000.0,1010000000.0,1010000000.0,0.05,59.21,22250000.0,5.32,2.24,21700000.0
0,0,WFC,0,0,0,0,279160000000.0,217330000000.0,13.92,10.67,1.29,3.25,1.52,2.53,,25.84,34.73,1.16,10.99,85860000000.0,17.3,3.3,,,20550000000.0,4.1,16.6,400530000000.0,81.88,337070000000.0,,,37.46,,,1.15,60.98,57.03,22620000.0,4890000000.0,4400000000.0,79.58,0.0,100.0,0.16,0.0,
0,0,TXT,0,0,0,0,15340000000.0,18810000000.0,25.33,16.55,1.89,1.08,2.65,1.33,12.67,2.16,7.3,4.22,5.45,14200000000.0,53.3,5.0,2400000000.0,1480000000.0,306000000.0,2.31,,1080000000.0,4.12,3910000000.0,69.28,2.18,22.09,953000000.0,858500000.0,1.47,58.97,55.0,1480000.0,261769999.99999997,260890000.0,0.14,85.68,5870000.0,3.71,2.53,7170000.0
0,0,NEM,0,0,0,0,20730000000.0,21070000000.0,,23.98,3.71,2.82,1.95,2.87,7.33,-1.33,21.77,4.81,-0.42,7350000000.0,13.79,8.2,3310000000.0,2880000000.0,-60000000.0,-0.18,,3320000000.0,6.22,4059999999.9999995,34.95,3.63,19.9,2340000000.0,1660000000.0,0.78,38.88,37.65,5430000.0,533480000.0,532010000.0,0.38,85.86,800.0,0.08,0.0,800.0
0,0,LSI,0,0,0,0,3720000000.0,5390000000.0,38.7,25.84,5.25,7.46,1.83,10.82,17.68,19.33,35.04,2.82,4.66,498480000.0,10.75,4.3,349290000.0,305060000.0,96360000.0,2.07,16.1,9370000.0,0.2,1730000000.0,84.33,0.27,43.71,,,0.73,80.93,83.1,46190000.0,46190000.0,45630000.0,1.75,104.46,5560000.0,9.9,16.4,5940000.0
0,0,CLX,0,0,0,0,17120000000.000002,18590000000.0,21.83,20.42,2.67,2.84,22.52,3.08,14.9,13.21,18.21,14.74,155.15,6040000000.0,46.8,0.7,2670000000.0,1250000000.0,799000000.0,6.06,56.4,489000000.0,3.78,2280000000.0,300.39,1.22,5.88,920000000.0,593370000.0,0.34,134.55,136.09,1040000.0,129400000.0,129130000.0,0.1,77.64,7600000.0,7.12,6.59,6770000.0
0,0,NUE,0,0,0,0,21550000000.0,24350000000.0,16.53,12.67,0.87,1.06,2.48,1.2,9.33,6.51,9.29,7.57,15.92,20250000000.0,63.29,28.7,2029999999.9999998,2610000000.0,1320000000.0,4.1,73.2,999100000.0,3.13,3800000000.0,41.77,2.42,27.38,1050000000.0,456710000.0,1.58,66.59,60.31,3200000.0,317940000.0,318240000.0,0.42,82.04,4090000.0,1.75,1.28,4290000.0
0,0,LOW,0,0,0,0,72310000000.0,89140000000.0,21.3,14.14,0.95,1.05,12.28,1.3,10.97,5.02,9.6,11.81,56.02,68620000000.00001,81.79,-1.8,22460000000.0,8130000000.000001,3450000000.0,4.09,-16.4,690000000.0,0.83,17000000000.0,289.38,1.06,7.09,5060000000.0,3390000000.0,1.34,99.03,86.2,6990000.0,830000000.0,826790000.0,0.14,75.44,7310000.0,1.3,0.85,5670000.0
0,0,JWN,0,0,0,0,8770000000.0,10480000000.0,18.31,14.74,3.32,0.58,10.24,0.69,6.38,3.23,6.62,7.73,56.83,15090000000.0,89.7,2.5,5320000000.0,1640000000.0,487000000.0,2.87,,672000000.0,4.03,2740000000.0,320.61,1.0,5.13,1370000000.0,739370000.0,0.57,50.32,45.9,2009999.9999999998,167000000.0,115970000.0,31.48,61.59,22050000.0,7.23,18.94,20120000.0
0,0,AXP,0,0,0,0,82650000000.0,110710000000.0,32.35,12.13,1.34,2.71,4.53,3.63,,8.98,24.82,1.61,14.13,30470000000.0,34.5,8.3,,,2630000000.0,2.97,,33049999999.999996,38.42,61920000000.0,339.71,1.77,21.22,13540000000.0,,0.97,97.17,94.18,3910000.0,860280000.0,705920000.0,0.25,85.57,11500000.0,3.38,1.54,14010000.0
0,0,DTE,0,0,0,0,18150000000.0,30920000000.0,16.01,16.48,3.17,1.44,1.91,2.45,12.31,8.99,13.21,3.16,11.41,12610000000.0,70.43,13.8,3110000000.0,2510000000.0,1130000000.0,6.32,119.1,66000000.0,0.37,12920000000.0,129.28,1.1,53.03,2120000000.0,-560750000.0,0.21,102.83,108.89,1260000.0,179390000.0,178160000.0,0.55,70.39,3730000.0,3.36,2.34,4040000.0
0,0,GS,0,0,0,0,100050000000.0,-209270000000.0,29.63,11.17,0.51,3.12,1.48,-6.53,,13.36,35.29,0.48,5.04,32070000000.0,79.86,-4.1,32070000000.0,,3660000000.0,9.01,,737710000000.0,1896.56,428560000000.0,517.61,1.81,180.96,-17740000000.0,,1.27,261.44,245.54,3430000.0,374810000.0,345570000.0,1.85,79.17,5930000.0,2.23,1.52,4740000.0
0,0,KIM,0,0,0,0,6380000000.0,11690000000.0,17.2,23.75,5.16,5.31,1.18,9.74,15.57,35.48,35.5,2.32,7.97,1200000000.0,2.84,6.1,889710000.0,751020000.0,370330000.0,0.87,8.5,238510000.0,0.56,5480000000.0,98.93,1.12,12.67,614180000.0,499340000.0,0.48,15.33,18.02,5360000.0,425460000.0,413270000.0,2.75,92.34,19560000.0,5.18,5.73,17700000.0
0,0,LLTC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NOV,0,0,0,0,13950000000.0,14740000000.0,,34.3,3.0,1.91,0.99,2.02,35.0,-3.24,-3.79,-0.84,-1.68,7300000000.0,19.37,16.4,892000000.0,421000000.0,-237000000.0,-0.63,,1440000000.0,3.78,2710000000.0,19.15,3.07,37.08,832000000.0,888120000.0,0.77,36.08,34.46,3290000.0,380140000.0,379310000.0,0.35,96.18,33130000.000000004,9.67,9.71,30740000.0
0,0,MCP,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
